Status,Sheet #,Object Name,Odoo Module,Master/Transaction,Mandatory,SAP Service,SAP Entity,SAP API URL,SAP Records,SAP Fields,Raw File,Odoo Model,Odoo CSV File,Odoo Records,Odoo Columns,Sample Record (from SAP),Notes / Why Not Done
COMPLETED,17 / 46,Customers / Vendors,CRM / Purchase,Master,Yes,bpm_businesspartnerdata_analytics.svc,RPBUPATAXNUMBERS_Q0001QueryResults,https://my345654.sapbydesign.com/sap/byd/odata/bpm_businesspartnerdata_analytics.svc/RPBUPATAXNUMBERS_Q0001QueryResults,66,10,bpm_businesspartnerdata_analytics.svc__RPBUPATAXNUMBERS_Q0001QueryResults.json,res.partner,res_partner.csv,271,13,CINTERNAL_ID=1001704; CTAX_COUNTRY_CODE=US; CTAX_NUMBER=123; CTAX_NUMBER_TYPE=7,"REAL DATA: bpm_businesspartnerdata_analytics.svc, 44 accounts confirmed"
COMPLETED,18,Salespersons,CRM,Master,Yes,khemployee,EmployeeCollection,https://my345654.sapbydesign.com/sap/byd/odata/cust/v1/khemployee/EmployeeCollection,99,24,khemployee__EmployeeCollection.json,res.users,res_users.csv,99,5,InternalID=8000000000; EmployeeID=7000000; CreationDateTime=/Date(1541671212729)/; LastChangeDateTime=/Date(1548826543196)/,"REAL DATA: khemployee custom service, 99 employees (output file is res_users.csv - see FILENAME_OVERRIDES)"
COMPLETED,18,Salespersons,CRM,Master,Yes,khemployee,WorkplaceAddressCollection,https://my345654.sapbydesign.com/sap/byd/odata/cust/v1/khemployee/WorkplaceAddressCollection,7,9,khemployee__WorkplaceAddressCollection.json,res.users,res_users.csv,99,5,Email=ramprasad.pothiraj@itelligen...; Mobile=9591073050,"REAL DATA: khemployee custom service, 99 employees (output file is res_users.csv - see FILENAME_OVERRIDES)"
COMPLETED,20 / 21 / 22,Opportunities / Open Opportunities / Closed Opportunities,CRM,Transaction,Yes,khopportunity,OpportunityCollection,https://my345654.sapbydesign.com/sap/byd/odata/cust/v1/khopportunity/OpportunityCollection,15,36,khopportunity__OpportunityCollection.json,crm.lead,crm_lead.csv,15,5,Description=Sensor ECU; CreationDateTime=/Date(1551785177754)/; ClassificationCategoryCode=Z001; ClassificationCategoryCodeText=Automotive,"REAL DATA: khopportunity custom service, 15 opportunities (all, unfiltered)"
COMPLETED,27 / 28,Warehouses / Locations,Inventory,Master,Yes,khlocation,LocationCollection,https://my345654.sapbydesign.com/sap/byd/odata/cust/v1/khlocation/LocationCollection,4,30,khlocation__LocationCollection.json,stock.location / stock.warehouse,stock_warehouse.csv,1,3,Name=Danlaw Technologies lndia Li...; InventoryManagedLocationIndicator=True; NegativeInTransitInventoryAllowedIndicator=True; ServicePointIndicator=True,"REAL DATA: same khlocation source as #28, filtered on InventoryManagedLocationIndicator (ByDesign's own signal for 'this location tracks inventory') - 1/4 locations qualify"
COMPLETED,29,UOM,Inventory,Master,Yes,vmumaterial,MaterialBaseMeasureUnitCodeCollection,https://my345654.sapbydesign.com/sap/byd/odata/cust/v1/vmumaterial/MaterialBaseMeasureUnitCodeCollection,23,2,vmumaterial__MaterialBaseMeasureUnitCodeCollection.json,uom.uom,uom_uom.csv,23,2,Code=ANN; Description=Year,"REAL DATA: vmumaterial's MaterialBaseMeasureUnitCodeCollection codelist, already-imported service, no new upload needed - 23 units"
COMPLETED,42 / 44,Work Centers / Manufacturing Orders,Manufacturing,Master / Transaction,Yes,khproductionorder,OperationCollection,https://my345654.sapbydesign.com/sap/byd/odata/cust/v1/khproductionorder/OperationCollection,1158,16,khproductionorder__OperationCollection.json,mrp.production / mrp.workcenter,mrp_workcenter.csv,18,3,CategoryCode=10; CategoryCodeText=Supply; ProcessingNetDuration=PT0S; TypeCode=10,"REAL DATA: derived from khproductionorder's OperationCollection (ResourceID/ResourceDescription), deduplicated - no dedicated Work Center master service found, but this data was already on hand (used for #44) - 18 distinct work centers"
COMPLETED,44,Manufacturing Orders,Manufacturing,Transaction,Optional,khproductionorder,ProductionOrderCollection,https://my345654.sapbydesign.com/sap/byd/odata/cust/v1/khproductionorder/ProductionOrderCollection?$expand=MainProductOutput,152,45,khproductionorder__ProductionOrderCollection.json,mrp.production,mrp_production.csv,152,7,__metadata.uri=https://my345654.sapbydesign...; __metadata.type=cust.ProductionOrder; PriorityCode=3; PriorityCodeText=Normal,"REAL DATA: khproductionorder custom service, 152 orders. Header only - MainProductOutputCollection's 2842 rows don't carry a ParentObjectID and don't reliably join back to a specific order, so product_id/product_qty are left blank; OperationCollection (1158 rows, joins correctly via ParentObjectID) is raw-extracted but not yet transformed into routing lines"
COMPLETED,44,Manufacturing Orders,Manufacturing,Transaction,Optional,khproductionorder,MainProductOutputCollection,https://my345654.sapbydesign.com/sap/byd/odata/cust/v1/khproductionorder/MainProductOutputCollection,2842,12,khproductionorder__MainProductOutputCollection.json,mrp.production,mrp_production.csv,152,7,ProductID=CS90861BOOO; PlannedQuantity=100.00000000000000; PlannedQuantityUnitCode=ZNO; PlannedQuantityUnitCodeText=Number,"REAL DATA: khproductionorder custom service, 152 orders. Header only - MainProductOutputCollection's 2842 rows don't carry a ParentObjectID and don't reliably join back to a specific order, so product_id/product_qty are left blank; OperationCollection (1158 rows, joins correctly via ParentObjectID) is raw-extracted but not yet transformed into routing lines"
COMPLETED,50,Purchase Orders,Purchase,Transaction,Yes,khpurchaseorder,PurchaseOrderCollection,https://my345654.sapbydesign.com/sap/byd/odata/cust/v1/khpurchaseorder/PurchaseOrderCollection,655,26,khpurchaseorder__PurchaseOrderCollection.json,purchase.order,purchase_order.csv + purchase_order_line.csv,655,7,DataOriginTypeCode=1; DataOriginTypeCodeText=Manual data entry; CreationDateTime=/Date(1551078080000)/; LastChangeDateTime=/Date(1551078371000)/,"REAL DATA: cust/v1/khpurchaseorder custom OData service (user-imported Cloud Applications Studio BO, from byd-api-samples-main) - 655 POs, 1861 line items confirmed. product_id/id on lines resolves now that Products (#57) is also wired up (1586/1595)"
COMPLETED,50,Purchase Orders,Purchase,Transaction,Yes,khpurchaseorder,ItemCollection,https://my345654.sapbydesign.com/sap/byd/odata/cust/v1/khpurchaseorder/ItemCollection,1861,54,khpurchaseorder__ItemCollection.json,purchase.order,purchase_order.csv + purchase_order_line.csv,655,7,ProductTypeCode=1; ProductTypeCodeText=Material; ProductCategoryInternalID=OTH; ProductCategoryDescription=OTHERS,"REAL DATA: cust/v1/khpurchaseorder custom OData service (user-imported Cloud Applications Studio BO, from byd-api-samples-main) - 655 POs, 1861 line items confirmed. product_id/id on lines resolves now that Products (#57) is also wired up (1586/1595)"
COMPLETED,50,Purchase Orders,Purchase,Transaction,Yes,khpurchaseorder,SupplierCollection,https://my345654.sapbydesign.com/sap/byd/odata/cust/v1/khpurchaseorder/SupplierCollection,3529,3,khpurchaseorder__SupplierCollection.json,purchase.order,purchase_order.csv + purchase_order_line.csv,655,7,PartyID=70000,"REAL DATA: cust/v1/khpurchaseorder custom OData service (user-imported Cloud Applications Studio BO, from byd-api-samples-main) - 655 POs, 1861 line items confirmed. product_id/id on lines resolves now that Products (#57) is also wired up (1586/1595)"
COMPLETED,57,Products,Sales,Master,Yes,vmumaterial,MaterialCollection,https://my345654.sapbydesign.com/sap/byd/odata/cust/v1/vmumaterial/MaterialCollection,3058,18,vmumaterial__MaterialCollection.json,product.template,product_template.csv,3058,14,InternalID=1; Description=PCBA YSD SBW SENSOR  BOARD; BaseMeasureUnitCode=EA; BaseMeasureUnitCodeText=Each,"REAL DATA, FULL FIELD COVERAGE: all 15 real (non-empty) per-material entities in vmumaterial/vmumaterialvaluationdata checked (78 entity sets total exist; 172 distinct SAP fields across the 15 real ones) - MaterialCollection (base), TextCollection (detailed description, 2172/3058), PurchasingCollection/SalesCollection (UOM + purchase_ok/sale_ok), ProductCategoryCollection (category, 3058/3058 resolved), PlanningCollection (ProcurementTypeCode -> route_ids/id, real 107/93 Buy/Manufacture split), IdentificationCollection/LogisticsCollection/ValuationCollection/AvailabilityConfirmationCollection/PlanningForecastGroupCollection/QuantityConversionCollection/DeviantTaxClassificationCollection (extracted, no corresponding core Odoo product.template field - see SAP_Field_Mapping.xlsx sheet 57 for exactly which), vmumaterialvaluationdata (cost price, 994/3058). No barcode/weight/dimension data exists on this tenant (GlobalTradeItemNumberCollection and QuantityCharacteristicCollection both confirmed 0 rows live) - not fabricated, left blank."
COMPLETED,57,Products,Sales,Master,Yes,vmumaterialvaluationdata,MaterialValuationDataCollection,https://my345654.sapbydesign.com/sap/byd/odata/cust/v1/vmumaterialvaluationdata/MaterialValuationDataCollection,3021,7,vmumaterialvaluationdata__MaterialValuationDataCollection.json,product.template,product_template.csv,3058,14,MateriallID=1; CompanyID=70000; CreationDateTime=/Date(1544501523438)/; LastChangeDateTime=/Date(1599494200030)/,"REAL DATA, FULL FIELD COVERAGE: all 15 real (non-empty) per-material entities in vmumaterial/vmumaterialvaluationdata checked (78 entity sets total exist; 172 distinct SAP fields across the 15 real ones) - MaterialCollection (base), TextCollection (detailed description, 2172/3058), PurchasingCollection/SalesCollection (UOM + purchase_ok/sale_ok), ProductCategoryCollection (category, 3058/3058 resolved), PlanningCollection (ProcurementTypeCode -> route_ids/id, real 107/93 Buy/Manufacture split), IdentificationCollection/LogisticsCollection/ValuationCollection/AvailabilityConfirmationCollection/PlanningForecastGroupCollection/QuantityConversionCollection/DeviantTaxClassificationCollection (extracted, no corresponding core Odoo product.template field - see SAP_Field_Mapping.xlsx sheet 57 for exactly which), vmumaterialvaluationdata (cost price, 994/3058). No barcode/weight/dimension data exists on this tenant (GlobalTradeItemNumberCollection and QuantityCharacteristicCollection both confirmed 0 rows live) - not fabricated, left blank."
COMPLETED,57,Products,Sales,Master,Yes,vmumaterialvaluationdata,ValuationPriceCollection,https://my345654.sapbydesign.com/sap/byd/odata/cust/v1/vmumaterialvaluationdata/ValuationPriceCollection,1238,15,vmumaterialvaluationdata__ValuationPriceCollection.json,product.template,product_template.csv,3058,14,SetOfBooksID=DSOB; SetOfBooksDescription=DEAL_Set of Books; PriceTypeCode=1; PriceTypeCodeText=Inventory Cost,"REAL DATA, FULL FIELD COVERAGE: all 15 real (non-empty) per-material entities in vmumaterial/vmumaterialvaluationdata checked (78 entity sets total exist; 172 distinct SAP fields across the 15 real ones) - MaterialCollection (base), TextCollection (detailed description, 2172/3058), PurchasingCollection/SalesCollection (UOM + purchase_ok/sale_ok), ProductCategoryCollection (category, 3058/3058 resolved), PlanningCollection (ProcurementTypeCode -> route_ids/id, real 107/93 Buy/Manufacture split), IdentificationCollection/LogisticsCollection/ValuationCollection/AvailabilityConfirmationCollection/PlanningForecastGroupCollection/QuantityConversionCollection/DeviantTaxClassificationCollection (extracted, no corresponding core Odoo product.template field - see SAP_Field_Mapping.xlsx sheet 57 for exactly which), vmumaterialvaluationdata (cost price, 994/3058). No barcode/weight/dimension data exists on this tenant (GlobalTradeItemNumberCollection and QuantityCharacteristicCollection both confirmed 0 rows live) - not fabricated, left blank."
COMPLETED,57 / 58,Products / Product Categories,Sales,Master,Yes,vmumaterial,ProductCategoryCollection,https://my345654.sapbydesign.com/sap/byd/odata/cust/v1/vmumaterial/ProductCategoryCollection,3058,6,vmumaterial__ProductCategoryCollection.json,product.category / product.template,product_template.csv,3058,14,ProductCategoryInternalID=Z302; Description=Electrical spares,"REAL DATA, FULL FIELD COVERAGE: all 15 real (non-empty) per-material entities in vmumaterial/vmumaterialvaluationdata checked (78 entity sets total exist; 172 distinct SAP fields across the 15 real ones) - MaterialCollection (base), TextCollection (detailed description, 2172/3058), PurchasingCollection/SalesCollection (UOM + purchase_ok/sale_ok), ProductCategoryCollection (category, 3058/3058 resolved), PlanningCollection (ProcurementTypeCode -> route_ids/id, real 107/93 Buy/Manufacture split), IdentificationCollection/LogisticsCollection/ValuationCollection/AvailabilityConfirmationCollection/PlanningForecastGroupCollection/QuantityConversionCollection/DeviantTaxClassificationCollection (extracted, no corresponding core Odoo product.template field - see SAP_Field_Mapping.xlsx sheet 57 for exactly which), vmumaterialvaluationdata (cost price, 994/3058). No barcode/weight/dimension data exists on this tenant (GlobalTradeItemNumberCollection and QuantityCharacteristicCollection both confirmed 0 rows live) - not fabricated, left blank."
COMPLETED,57,Products,Sales,Master,Yes,vmumaterial,TextCollection,https://my345654.sapbydesign.com/sap/byd/odata/cust/v1/vmumaterial/TextCollection,2197,13,vmumaterial__TextCollection.json,product.template,product_template.csv,3058,14,Text=CAP CER X7R 1uF 16V ±10% 060...; TypeCode=10006; TypeCodeText=Detailed Description; CreatedOn=/Date(1549865066358)/,"REAL DATA, FULL FIELD COVERAGE: all 15 real (non-empty) per-material entities in vmumaterial/vmumaterialvaluationdata checked (78 entity sets total exist; 172 distinct SAP fields across the 15 real ones) - MaterialCollection (base), TextCollection (detailed description, 2172/3058), PurchasingCollection/SalesCollection (UOM + purchase_ok/sale_ok), ProductCategoryCollection (category, 3058/3058 resolved), PlanningCollection (ProcurementTypeCode -> route_ids/id, real 107/93 Buy/Manufacture split), IdentificationCollection/LogisticsCollection/ValuationCollection/AvailabilityConfirmationCollection/PlanningForecastGroupCollection/QuantityConversionCollection/DeviantTaxClassificationCollection (extracted, no corresponding core Odoo product.template field - see SAP_Field_Mapping.xlsx sheet 57 for exactly which), vmumaterialvaluationdata (cost price, 994/3058). No barcode/weight/dimension data exists on this tenant (GlobalTradeItemNumberCollection and QuantityCharacteristicCollection both confirmed 0 rows live) - not fabricated, left blank."
COMPLETED,57,Products,Sales,Master,Yes,vmumaterial,PurchasingCollection,https://my345654.sapbydesign.com/sap/byd/odata/cust/v1/vmumaterial/PurchasingCollection,2959,6,vmumaterial__PurchasingCollection.json,product.template,product_template.csv,3058,14,PurchasingMeasureUnitCode=EA; PurchasingMeasureUnitCodeText=Each; LifeCycleStatusCode=2; LifeCycleStatusCodeText=Active,"REAL DATA, FULL FIELD COVERAGE: all 15 real (non-empty) per-material entities in vmumaterial/vmumaterialvaluationdata checked (78 entity sets total exist; 172 distinct SAP fields across the 15 real ones) - MaterialCollection (base), TextCollection (detailed description, 2172/3058), PurchasingCollection/SalesCollection (UOM + purchase_ok/sale_ok), ProductCategoryCollection (category, 3058/3058 resolved), PlanningCollection (ProcurementTypeCode -> route_ids/id, real 107/93 Buy/Manufacture split), IdentificationCollection/LogisticsCollection/ValuationCollection/AvailabilityConfirmationCollection/PlanningForecastGroupCollection/QuantityConversionCollection/DeviantTaxClassificationCollection (extracted, no corresponding core Odoo product.template field - see SAP_Field_Mapping.xlsx sheet 57 for exactly which), vmumaterialvaluationdata (cost price, 994/3058). No barcode/weight/dimension data exists on this tenant (GlobalTradeItemNumberCollection and QuantityCharacteristicCollection both confirmed 0 rows live) - not fabricated, left blank."
COMPLETED,57,Products,Sales,Master,Yes,vmumaterial,SalesCollection,https://my345654.sapbydesign.com/sap/byd/odata/cust/v1/vmumaterial/SalesCollection,979,17,vmumaterial__SalesCollection.json,product.template,product_template.csv,3058,14,SalesOrganisationID=71000; DistributionChannelCode=01; DistributionChannelCodeText=Direct sales; LifeCycleStatusCode=2,"REAL DATA, FULL FIELD COVERAGE: all 15 real (non-empty) per-material entities in vmumaterial/vmumaterialvaluationdata checked (78 entity sets total exist; 172 distinct SAP fields across the 15 real ones) - MaterialCollection (base), TextCollection (detailed description, 2172/3058), PurchasingCollection/SalesCollection (UOM + purchase_ok/sale_ok), ProductCategoryCollection (category, 3058/3058 resolved), PlanningCollection (ProcurementTypeCode -> route_ids/id, real 107/93 Buy/Manufacture split), IdentificationCollection/LogisticsCollection/ValuationCollection/AvailabilityConfirmationCollection/PlanningForecastGroupCollection/QuantityConversionCollection/DeviantTaxClassificationCollection (extracted, no corresponding core Odoo product.template field - see SAP_Field_Mapping.xlsx sheet 57 for exactly which), vmumaterialvaluationdata (cost price, 994/3058). No barcode/weight/dimension data exists on this tenant (GlobalTradeItemNumberCollection and QuantityCharacteristicCollection both confirmed 0 rows live) - not fabricated, left blank."
COMPLETED,57,Products,Sales,Master,Yes,vmumaterial,PlanningCollection,https://my345654.sapbydesign.com/sap/byd/odata/cust/v1/vmumaterial/PlanningCollection,3054,36,vmumaterial__PlanningCollection.json,product.template,product_template.csv,3058,14,SupplyPlanningAreaID=71000; SupplyPlanningAreaDescription=Danlaw Technologies lndia Li...; LifeCycleStatusCode=2; LifeCycleStatusCodeText=Active,"REAL DATA, FULL FIELD COVERAGE: all 15 real (non-empty) per-material entities in vmumaterial/vmumaterialvaluationdata checked (78 entity sets total exist; 172 distinct SAP fields across the 15 real ones) - MaterialCollection (base), TextCollection (detailed description, 2172/3058), PurchasingCollection/SalesCollection (UOM + purchase_ok/sale_ok), ProductCategoryCollection (category, 3058/3058 resolved), PlanningCollection (ProcurementTypeCode -> route_ids/id, real 107/93 Buy/Manufacture split), IdentificationCollection/LogisticsCollection/ValuationCollection/AvailabilityConfirmationCollection/PlanningForecastGroupCollection/QuantityConversionCollection/DeviantTaxClassificationCollection (extracted, no corresponding core Odoo product.template field - see SAP_Field_Mapping.xlsx sheet 57 for exactly which), vmumaterialvaluationdata (cost price, 994/3058). No barcode/weight/dimension data exists on this tenant (GlobalTradeItemNumberCollection and QuantityCharacteristicCollection both confirmed 0 rows live) - not fabricated, left blank."
COMPLETED,57,Products,Sales,Master,Yes,vmumaterial,IdentificationCollection,https://my345654.sapbydesign.com/sap/byd/odata/cust/v1/vmumaterial/IdentificationCollection,3058,5,vmumaterial__IdentificationCollection.json,product.template,product_template.csv,3058,14,ProductID=1; ProductIdentifierTypeCode=1; ProductIdentifierTypeCodeText=Internal ID,"REAL DATA, FULL FIELD COVERAGE: all 15 real (non-empty) per-material entities in vmumaterial/vmumaterialvaluationdata checked (78 entity sets total exist; 172 distinct SAP fields across the 15 real ones) - MaterialCollection (base), TextCollection (detailed description, 2172/3058), PurchasingCollection/SalesCollection (UOM + purchase_ok/sale_ok), ProductCategoryCollection (category, 3058/3058 resolved), PlanningCollection (ProcurementTypeCode -> route_ids/id, real 107/93 Buy/Manufacture split), IdentificationCollection/LogisticsCollection/ValuationCollection/AvailabilityConfirmationCollection/PlanningForecastGroupCollection/QuantityConversionCollection/DeviantTaxClassificationCollection (extracted, no corresponding core Odoo product.template field - see SAP_Field_Mapping.xlsx sheet 57 for exactly which), vmumaterialvaluationdata (cost price, 994/3058). No barcode/weight/dimension data exists on this tenant (GlobalTradeItemNumberCollection and QuantityCharacteristicCollection both confirmed 0 rows live) - not fabricated, left blank."
COMPLETED,57,Products,Sales,Master,Yes,vmumaterial,LogisticsCollection,https://my345654.sapbydesign.com/sap/byd/odata/cust/v1/vmumaterial/LogisticsCollection,3057,8,vmumaterial__LogisticsCollection.json,product.template,product_template.csv,3058,14,SiteID=71000; LifeCycleStatusCode=2; LifeCycleStatusCodeText=Active; SiteName=Danlaw Technologies lndia Li...,"REAL DATA, FULL FIELD COVERAGE: all 15 real (non-empty) per-material entities in vmumaterial/vmumaterialvaluationdata checked (78 entity sets total exist; 172 distinct SAP fields across the 15 real ones) - MaterialCollection (base), TextCollection (detailed description, 2172/3058), PurchasingCollection/SalesCollection (UOM + purchase_ok/sale_ok), ProductCategoryCollection (category, 3058/3058 resolved), PlanningCollection (ProcurementTypeCode -> route_ids/id, real 107/93 Buy/Manufacture split), IdentificationCollection/LogisticsCollection/ValuationCollection/AvailabilityConfirmationCollection/PlanningForecastGroupCollection/QuantityConversionCollection/DeviantTaxClassificationCollection (extracted, no corresponding core Odoo product.template field - see SAP_Field_Mapping.xlsx sheet 57 for exactly which), vmumaterialvaluationdata (cost price, 994/3058). No barcode/weight/dimension data exists on this tenant (GlobalTradeItemNumberCollection and QuantityCharacteristicCollection both confirmed 0 rows live) - not fabricated, left blank."
COMPLETED,57,Products,Sales,Master,Yes,vmumaterial,ValuationCollection,https://my345654.sapbydesign.com/sap/byd/odata/cust/v1/vmumaterial/ValuationCollection,3021,6,vmumaterial__ValuationCollection.json,product.template,product_template.csv,3058,14,CompanyID=70000; BusinessResidenceID=71000; LifeCycleStatusCode=2; LifeCycleStatusCodeText=Active,"REAL DATA, FULL FIELD COVERAGE: all 15 real (non-empty) per-material entities in vmumaterial/vmumaterialvaluationdata checked (78 entity sets total exist; 172 distinct SAP fields across the 15 real ones) - MaterialCollection (base), TextCollection (detailed description, 2172/3058), PurchasingCollection/SalesCollection (UOM + purchase_ok/sale_ok), ProductCategoryCollection (category, 3058/3058 resolved), PlanningCollection (ProcurementTypeCode -> route_ids/id, real 107/93 Buy/Manufacture split), IdentificationCollection/LogisticsCollection/ValuationCollection/AvailabilityConfirmationCollection/PlanningForecastGroupCollection/QuantityConversionCollection/DeviantTaxClassificationCollection (extracted, no corresponding core Odoo product.template field - see SAP_Field_Mapping.xlsx sheet 57 for exactly which), vmumaterialvaluationdata (cost price, 994/3058). No barcode/weight/dimension data exists on this tenant (GlobalTradeItemNumberCollection and QuantityCharacteristicCollection both confirmed 0 rows live) - not fabricated, left blank."
